大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0016	國立陽明大學	720102	臨床醫學研究所	D 日	M 碩士	22	11	5	30 臺北市	1 一般
0016	國立陽明大學	720109	生理學研究所	D 日	M 碩士	38	8	13	30 臺北市	1 一般
0016	國立陽明大學	720111	神經科學研究所	D 日	M 碩士	24	11	13	30 臺北市	1 一般
0016	國立陽明大學	720114	解剖學暨細胞生物學研究所	D 日	M 碩士	27	8	18	30 臺北市	1 一般
0016	國立陽明大學	720120	急重症醫學研究所	D 日	M 碩士	36	6	3	30 臺北市	1 一般
0016	國立陽明大學	720122	腦科學研究所	D 日	M 碩士	40	9	19	30 臺北市	1 一般
0016	國立陽明大學	720201	公共衛生學系	D 日	M 碩士	59	9	14	30 臺北市	1 一般
0016	國立陽明大學	720205	衛生福利學系	D 日	M 碩士	49	7	15	30 臺北市	1 一般
0016	國立陽明大學	720218	環境暨職業衛生學系	D 日	M 碩士	25	6	11	30 臺北市	1 一般
0016	國立陽明大學	720219	國際衛生學位學程	D 日	M 碩士	18	0	9	30 臺北市	1 一般
0016	國立陽明大學	720303	傳統醫藥學系	D 日	M 碩士	16	5	6	30 臺北市	1 一般
0016	國立陽明大學	720305	藥理(暨毒理)(學)研究所	D 日	M 碩士	39	7	18	30 臺北市	1 一般
0016	國立陽明大學	720309	生(物)藥(科)學系	D 日	M 碩士	38	7	15	30 臺北市	1 一般
0016	國立陽明大學	720411	物理治療暨輔助科技學系	D 日	M 碩士	53	0	25	30 臺北市	1 一般
0016	國立陽明大學	720602	臨床護理研究所	D 日	M 碩士	70	6	23	30 臺北市	1 一般
0016	國立陽明大學	720621	社區健康照護研究所	D 日	M 碩士	21	5	0	30 臺北市	1 一般
0016	國立陽明大學	720705	醫學生物技術(暨檢驗)學系	D 日	M 碩士	53	0	25	30 臺北市	1 一般
0016	國立陽明大學	720712	(生物)醫學影像暨放射科學學系	D 日	M 碩士	45	0	23	30 臺北市	1 一般
0016	國立陽明大學	720801	牙醫(科學)學系	D 日	M 碩士	31	0	6	30 臺北市	1 一般
0016	國立陽明大學	720806	口腔生物(科學)研究所	D 日	M 碩士	26	7	4	30 臺北市	1 一般
0017	國立臺北大學	220201	(中)國(語)文學系	D 日	M 碩士	32	0	6	01 新北市	1 一般
0017	國立臺北大學	220901	(歷)史學系	D 日	M 碩士	26	0	3	01 新北市	1 一般
0017	國立臺北大學	229919	民俗藝術與文化資產研究所	D 日	M 碩士	31	4	10	01 新北市	1 一般
0017	國立臺北大學	310101	經濟學系	D 日	M 碩士	54	0	33	01 新北市	1 一般
0017	國立臺北大學	310301	社會學系	D 日	M 碩士	32	0	11	01 新北市	1 一般
0017	國立臺北大學	310802	公共行政與政策學系	D 日	M 碩士	83	0	27	01 新北市	1 一般
0017	國立臺北大學	311007	犯罪(防治)學系	D 日	M 碩士	43	6	17	01 新北市	1 一般
0017	國立臺北大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	35	0	14	01 新北市	1 一般
0017	國立臺北大學	340301	企業管理學系	D 日	M 碩士	211	0	109	01 新北市	1 一般
0017	國立臺北大學	340307	國際企業(與)(管理)學系	D 日	M 碩士	25	5	12	01 新北市	1 一般
0017	國立臺北大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	8	0	2	01 新北市	1 一般
